date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:28	15250/15250	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Sep%202018%2009:58:17%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/3d-bold-navigation/js/modernizr.js	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/3d-bold-navigation/js/modernizr.js	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:29	4069/4069	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Sep%202018%2009:56:14%20GMT	http://stacksthemes.com/modern/admin1/assets/images/avatar2.png	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/images/avatar2.png	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:30	4501/4501	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Sep%202018%2009:56:14%20GMT	http://stacksthemes.com/modern/admin1/assets/images/avatar3.png	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/images/avatar3.png	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:30	4135/4135	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Sep%202018%2009:56:13%20GMT	http://stacksthemes.com/modern/admin1/assets/images/avatar4.png	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/images/avatar4.png	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:30	3919/3919	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Sep%202018%2009:56:13%20GMT	http://stacksthemes.com/modern/admin1/assets/images/avatar5.png	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/images/avatar5.png	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:33	69852/69852	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/index.html?theme=blue	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/indexca00.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:33	69852/69852	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/index.html?theme=green	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/indexaf91.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:35	7652/7652	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Sep%202018%2009:56:14%20GMT	http://stacksthemes.com/modern/admin1/assets/images/profile-menu-image.png	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/images/profile-menu-image.png	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:35	73161/73161	---M--	200	added ('OK')	application/javascript	date:Wed,%2012%20Sep%202018%2009:58:16%20GMT	http://stacksthemes.com/modern/admin1/assets/plugins/offcanvasmenueffects/js/snap.svg-min.js	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/plugins/offcanvasmenueffects/js/snap.svg-min.js	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:35	69852/69852	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/index.html?theme=red	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/index0e99.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:37	69852/69852	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/index.html?theme=white	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/index13d4.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:39	69852/69852	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/index.html?theme=purple	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/index938c.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:41	69852/69852	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/index.html?theme=dark	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/index4965.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:43	4134/4134	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Sep%202018%2009:56:14%20GMT	http://stacksthemes.com/modern/admin1/assets/images/avatar1.png	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/assets/images/avatar1.png	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:45	54609/54609	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/profile.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/profile.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:46	43026/43026	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/calendar.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/calendar.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:47	69057/69057	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/inbox.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/inbox.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:48	5112/5112	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/lock-screen.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/lock-screen.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:48	5098/5098	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/login.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/login.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:50	46368/46368	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/message-view.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/message-view.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:50	59220/59220	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:31%20GMT	http://stacksthemes.com/modern/admin1/inbox-alt.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/inbox-alt.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:51	36542/36542	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/message-view-alt.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/message-view-alt.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:52	44160/44160	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/compose.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/compose.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:53	34330/34330	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/compose-alt.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/compose-alt.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:54	47533/47533	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/ui-alerts.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-alerts.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:55	56932/56932	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/ui-buttons.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-buttons.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:58	293225/293225	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/ui-icons.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-icons.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:48:58	59554/59554	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/ui-typography.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-typography.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:00	53682/53682	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:31%20GMT	http://stacksthemes.com/modern/admin1/ui-notifications.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-notifications.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:01	58158/58158	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:31%20GMT	http://stacksthemes.com/modern/admin1/ui-grid.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-grid.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:03	79392/79392	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/ui-tabs-accordions.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-tabs-accordions.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:04	49266/49266	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/ui-modals.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-modals.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:07	52751/52751	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/ui-progress.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-progress.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:07	64594/64594	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/ui-panels.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-panels.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:08	45870/45870	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/ui-sliders.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-sliders.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:09	48516/48516	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/ui-nestable.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-nestable.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:11	52756/52756	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/ui-tree-view.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/ui-tree-view.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:11	40779/40779	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/layout-blank.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-blank.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:12	40797/40797	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/layout-boxed.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-boxed.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:13	40824/40824	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/layout-horizontal-menu.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-horizontal-menu.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:14	40878/40878	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/layout-horizontal-menu-boxed.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-horizontal-menu-boxed.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:15	40870/40870	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:29%20GMT	http://stacksthemes.com/modern/admin1/layout-horizontal-menu-minimal.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-horizontal-menu-minimal.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:17	40815/40815	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:31%20GMT	http://stacksthemes.com/modern/admin1/layout-fixed-sidebar.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-fixed-sidebar.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:17	40675/40675	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/layout-static-header.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-static-header.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:20	40822/40822	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:31%20GMT	http://stacksthemes.com/modern/admin1/layout-collapsed-sidebar.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-collapsed-sidebar.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:20	40756/40756	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:30%20GMT	http://stacksthemes.com/modern/admin1/layout-compact-menu.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-compact-menu.html	(from http://stacksthemes.com/modern/admin1/index.html)
20:49:21	40798/40798	---M--	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2009:55:28%20GMT	http://stacksthemes.com/modern/admin1/layout-hover-menu.html	E:/Template%20Web/Admin%20Template/Modern/stacksthemes.com/modern/admin1/layout-hover-menu.html	(from http://stacksthemes.com/modern/admin1/index.html)
